사고지역관리번호,사고년도,사고유형구분,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보,데이터기준일자,UTM-K_위도변환,UTM-K_경도변환
2014117,2013,무단횡단,111119001,서울 서울동작1,서울특별시 동작구 노량진동(노량진삼거리_노량진로_진입 부근),7,9,0,7,2,0,37.51355273,126.94168090000001,"{type:Polygon,coordinates:[[[126.9440803,37.515464],[126.9436754,37.5157395],[126.9432214,37.5159611],[126.9427295,37.5161234],[126.9422117,37.5162225],[126.9416808,37.5162557],[126.94115,37.5162225],[126.9406322,37.5161234],[126.9401403,37.5159611],[126.9396863,37.5157395],[126.9392814,37.515464],[126.9389356,37.5151415],[126.9386573,37.5147798],[126.9384536,37.514388],[126.9383293,37.5139755],[126.9382875,37.5135527],[126.9383293,37.5131298],[126.9384537,37.5127174],[126.9386574,37.5123256],[126.9389357,37.5119639],[126.9392815,37.5116414],[126.9396864,37.5113659],[126.9401404,37.5111443],[126.9406323,37.510982],[126.94115,37.510883],[126.9416808,37.5108497],[126.9422117,37.510883],[126.9427294,37.510982],[126.9432213,37.5111443],[126.9436753,37.5113659],[126.9440802,37.5116414],[126.944426,37.5119639],[126.9447043,37.5123256],[126.944908,37.5127174],[126.9450324,37.5131298],[126.9450741,37.5135527],[126.9450324,37.5139755],[126.9449081,37.514388],[126.9447044,37.5147798],[126.9444261,37.5151415],[126.9440803,37.515464]]]}",2019-10-10,546009.900455125,194844.0396322994
2015052,2014,무단횡단,111911001,서울 서울동작1,서울특별시 동작구 노량진동(소호리빙텔 부근),4,5,0,3,1,1,37.50964296,126.94024040000001,"{type:Polygon,coordinates:[[[126.9426397,37.5115543],[126.9422348,37.5118297],[126.9417808,37.5120514],[126.9412889,37.5122137],[126.9407712,37.5123127],[126.9402403,37.512346],[126.9397095,37.5123127],[126.9391918,37.5122137],[126.9386999,37.5120514],[126.9382459,37.5118297],[126.937841,37.5115543],[126.9374952,37.5112317],[126.937217,37.5108701],[126.9370133,37.5104782],[126.936889,37.5100658],[126.9368472,37.5096429],[126.936889,37.5092201],[126.9370133,37.5088076],[126.9372171,37.5084158],[126.9374953,37.5080541],[126.9378411,37.5077316],[126.938246,37.5074562],[126.9386999,37.5072346],[126.9391918,37.5070722],[126.9397096,37.5069732],[126.9402403,37.5069399],[126.9407711,37.5069732],[126.9412888,37.5070722],[126.9417807,37.5072346],[126.9422347,37.5074562],[126.9426396,37.5077316],[126.9429854,37.5080541],[126.9432636,37.5084158],[126.9434674,37.5088076],[126.9435917,37.5092201],[126.9436335,37.5096429],[126.9435917,37.5100658],[126.9434674,37.5104782],[126.9432637,37.5108701],[126.9429855,37.5112317],[126.9426397,37.5115543]]]}",2019-10-10,545576.0456647243,194716.41019265103
2018045,2017,무단횡단,111911001,서울 서울동작1,서울특별시 동작구 대방동(해군회관앞 부근),5,5,0,3,2,0,37.503809600000004,126.9217295,"{type:Polygon,coordinates:[[[126.92442447,37.5038096],[126.92437269,37.50339251],[126.92421933,37.50299144],[126.92397029,37.50262181],[126.92363514,37.50229783],[126.92322676,37.50203195],[126.92276084,37.50183438],[126.92225528,37.50171271],[126.92172953,37.50167163],[126.92120377,37.50171271],[126.92069822,37.50183438],[126.92023229,37.50203195],[126.91982391,37.50229783],[126.91948876,37.50262181],[126.91923972,37.50299144],[126.91908636,37.50339251],[126.91903458,37.5038096],[126.91908636,37.50422669],[126.91923972,37.50462775],[126.91948876,37.50499736],[126.91982391,37.50532133],[126.92023229,37.5055872],[126.92069822,37.50578477],[126.92120377,37.50590642],[126.92172953,37.5059475],[126.92225528,37.50590642],[126.92276084,37.50578477],[126.92322676,37.5055872],[126.92363514,37.50532133],[126.92397029,37.50499736],[126.92421933,37.50462775],[126.92437269,37.50422669],[126.92442447,37.5038096]]]}",2019-10-10,544929.8177906142,193079.24734739997
2017081,2016,무단횡단,111911001,서울 서울동작1,서울특별시 동작구 사당동(이수역_사당로_진출_2 부근),8,9,0,8,1,0,37.48485871,126.9802702,"{type:Polygon,coordinates:[[[126.98296513,37.48485871],[126.98291335,37.48444152],[126.98275999,37.48404035],[126.98251095,37.48367063],[126.9821758,37.48334657],[126.98176742,37.48308061],[126.9813015,37.48288299],[126.98079594,37.4827613],[126.98027018,37.48272021],[126.97974443,37.4827613],[126.97923887,37.48288299],[126.97877295,37.48308061],[126.97836457,37.48334657],[126.97802942,37.48367063],[126.97778038,37.48404035],[126.97762702,37.48444152],[126.97757524,37.48485871],[126.97762702,37.48527591],[126.97778038,37.48567707],[126.97802942,37.48604678],[126.97836457,37.48637083],[126.97877295,37.48663677],[126.97923887,37.48683438],[126.97974443,37.48695607],[126.98027018,37.48699716],[126.98079594,37.48695607],[126.9813015,37.48683438],[126.98176742,37.48663677],[126.9821758,37.48637083],[126.98251095,37.48604678],[126.98275999,37.48567707],[126.98291335,37.48527591],[126.98296513,37.48485871]]]}",2019-10-10,542823.8215682053,198255.03144880745
2013114,2012,무단횡단,111119001,서울 서울동작1,서울특별시 동작구 상도동(동광교회 부근),4,4,0,1,3,0,37.50210436,126.93441399999999,"{type:Polygon,coordinates:[[[126.9368131,37.5040157],[126.9364083,37.5042911],[126.9359543,37.5045128],[126.9354624,37.5046751],[126.9349447,37.5047741],[126.934414,37.5048074],[126.9338832,37.5047741],[126.9333655,37.5046751],[126.9328736,37.5045128],[126.9324197,37.5042911],[126.9320149,37.5040157],[126.9316691,37.5036931],[126.9313909,37.5033315],[126.9311872,37.5029396],[126.9310629,37.5025272],[126.9310212,37.5021043],[126.931063,37.5016815],[126.9311873,37.501269],[126.931391,37.5008772],[126.9316692,37.5005155],[126.932015,37.500193],[126.9324198,37.4999176],[126.9328737,37.4996959],[126.9333656,37.4995336],[126.9338832,37.4994346],[126.934414,37.4994013],[126.9349447,37.4994346],[126.9354624,37.4995336],[126.9359542,37.4996959],[126.9364081,37.4999176],[126.936813,37.500193],[126.9371587,37.5005155],[126.9374369,37.5008772],[126.9376407,37.501269],[126.937765,37.5016815],[126.9378068,37.5021043],[126.937765,37.5025272],[126.9376407,37.5029396],[126.937437,37.5033315],[126.9371589,37.5036931],[126.9368131,37.5040157]]]}",2019-10-10,544739.7009122715,194200.69124578955
2019066,2018,무단횡단,111911001,서울 서울동작1,서울특별시 동작구 상도동(현명약국 부근),4,4,1,2,1,0,37.50471459,126.93741509999998,"{type:Polygon,coordinates:[[[126.94011008,37.50471459],[126.9400583,37.5042975],[126.93990494,37.50389644],[126.9396559,37.50352682],[126.93932075,37.50320284],[126.93891237,37.50293696],[126.93844645,37.50273939],[126.93794089,37.50261773],[126.93741514,37.50257665],[126.93688938,37.50261773],[126.93638383,37.50273939],[126.9359179,37.50293696],[126.93550952,37.50320284],[126.93517437,37.50352682],[126.93492533,37.50389644],[126.93477197,37.5042975],[126.93472019,37.50471459],[126.93477197,37.50513167],[126.93492533,37.50553273],[126.93517437,37.50590234],[126.93550952,37.5062263],[126.9359179,37.50649217],[126.93638383,37.50668973],[126.93688938,37.50681139],[126.93741514,37.50685247],[126.93794089,37.50681139],[126.93844645,37.50668973],[126.93891237,37.50649217],[126.93932075,37.5062263],[126.9396559,37.50590234],[126.93990494,37.50553273],[126.9400583,37.50513167],[126.94011008,37.50471459]]]}",2019-10-10,545029.2221211826,194466.25009670475
2018045,2017,무단횡단,111911002,서울 서울동작2,서울특별시 동작구 대방동(CU 신대방덕우점 부근),4,4,0,1,2,1,37.49830335,126.92364909999999,"{type:Polygon,coordinates:[[[126.92634409,37.49830335],[126.9262923,37.49788622],[126.92613894,37.49748513],[126.9258899,37.49711548],[126.92555475,37.49679147],[126.92514637,37.49652557],[126.92468045,37.49632798],[126.9241749,37.49620631],[126.92364914,37.49616522],[126.92312338,37.49620631],[126.92261783,37.49632798],[126.92215191,37.49652557],[126.92174352,37.49679147],[126.92140837,37.49711548],[126.92115933,37.49748513],[126.92100598,37.49788622],[126.92095419,37.49830335],[126.92100598,37.49872047],[126.92115933,37.49912156],[126.92140837,37.4994912],[126.92174352,37.49981519],[126.92215191,37.50008109],[126.92261783,37.50027866],[126.92312338,37.50040033],[126.92364914,37.50044141],[126.9241749,37.50040033],[126.92468045,37.50027866],[126.92514637,37.50008109],[126.92555475,37.49981519],[126.9258899,37.4994912],[126.92613894,37.49912156],[126.9262923,37.49872047],[126.92634409,37.49830335]]]}",2019-10-10,544318.5557343038,193248.48447931246
2015052,2014,무단횡단,111911002,서울 서울동작2,서울특별시 동작구 대방동(신대방삼거리역 부근),4,6,0,1,5,0,37.49940854,126.92826409999998,"{type:Polygon,coordinates:[[[126.9306631,37.5013198],[126.9302583,37.5015953],[126.9298043,37.5018169],[126.9293125,37.5019793],[126.9287948,37.5020783],[126.9282641,37.5021116],[126.9277333,37.5020783],[126.9272156,37.5019793],[126.9267238,37.5018169],[126.9262698,37.5015953],[126.925865,37.5013198],[126.9255193,37.5009973],[126.9252411,37.5006356],[126.9250374,37.5002438],[126.9249131,37.4998313],[126.9248714,37.4994085],[126.9249132,37.4989857],[126.9250375,37.4985732],[126.9252412,37.4981814],[126.9255194,37.4978197],[126.9258651,37.4974972],[126.92627,37.4972217],[126.9267239,37.4970001],[126.9272157,37.4968378],[126.9277334,37.4967388],[126.9282641,37.4967055],[126.9287948,37.4967388],[126.9293124,37.4968378],[126.9298042,37.4970001],[126.9302582,37.4972217],[126.930663,37.4974972],[126.9310087,37.4978197],[126.9312869,37.4981814],[126.9314906,37.4985732],[126.9316149,37.4989857],[126.9316567,37.4994085],[126.931615,37.4998313],[126.9314907,37.5002438],[126.931287,37.5006356],[126.9310088,37.5009973],[126.9306631,37.5013198]]]}",2019-10-10,544440.8964631635,193656.67071510525
2017081,2016,무단횡단,111911002,서울 서울동작2,서울특별시 동작구 사당동(대림쇼핑센타 부근),4,4,0,2,1,1,37.50557008,126.9467882,"{type:Polygon,coordinates:[[[126.94948312,37.50557008],[126.94943134,37.505153],[126.94927798,37.50475194],[126.94902894,37.50438232],[126.94869379,37.50405835],[126.94828541,37.50379247],[126.94781949,37.5035949],[126.94731394,37.50347324],[126.94678818,37.50343216],[126.94626242,37.50347324],[126.94575687,37.5035949],[126.94529095,37.50379247],[126.94488256,37.50405835],[126.94454741,37.50438232],[126.94429837,37.50475194],[126.94414501,37.505153],[126.94409323,37.50557008],[126.94414501,37.50598716],[126.94429837,37.50638821],[126.94454741,37.50675781],[126.94488256,37.50708178],[126.94529095,37.50734764],[126.94575687,37.5075452],[126.94626242,37.50766685],[126.94678818,37.50770793],[126.94731394,37.50766685],[126.94781949,37.5075452],[126.94828541,37.50734764],[126.94869379,37.50708178],[126.94902894,37.50675781],[126.94927798,37.50638821],[126.94943134,37.50598716],[126.94948312,37.50557008]]]}",2019-10-10,545123.6606316725,195295.07231210967
2019066,2018,무단횡단,111911002,서울 서울동작2,서울특별시 동작구 흑석동(흑석역 부근),4,4,1,2,1,0,37.50832923,126.96345259999998,"{type:Polygon,coordinates:[[[126.96614757,37.50832923],[126.96609579,37.50791217],[126.96594243,37.50751112],[126.96569339,37.50714152],[126.96535824,37.50681756],[126.96494985,37.50655169],[126.96448393,37.50635413],[126.96397838,37.50623247],[126.96345262,37.5061914],[126.96292686,37.50623247],[126.96242131,37.50635413],[126.96195539,37.50655169],[126.96154701,37.50681756],[126.96121186,37.50714152],[126.96096282,37.50751112],[126.96080946,37.50791217],[126.96075768,37.50832923],[126.96080946,37.5087463],[126.96096282,37.50914733],[126.96121186,37.50951692],[126.96154701,37.50984087],[126.96195539,37.51010673],[126.96242131,37.51030428],[126.96292686,37.51042593],[126.96345262,37.51046701],[126.96397838,37.51042593],[126.96448393,37.51030428],[126.96494985,37.51010673],[126.96535824,37.50984087],[126.96569339,37.50951692],[126.96594243,37.50914733],[126.96609579,37.5087463],[126.96614757,37.50832923]]]}",2019-10-10,545429.1882023576,196768.6388696445
