Unnamed: 0,어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자,lon,lat,UTM-K_위도변환,UTM-K_경도변환
1,the KIDS 대방 어린이집,서울특별시,동작구,직장,49,21,서울특별시 동작구 보라매로5가길 24 사옥2층,02-849-8555,02-849-8556,5,0,24,미운영,www.daebang.thekids-hyundai.com,2020-03-27,126.9239177,37.4905172,543454.3754,193271.5376
2,YWCA또래또어린이집,서울특별시,동작구,민간,69,17,서울특별시 동작구 국사봉1길 100 (상도동),02-821-0210,--,6,1,8,운영(신고),http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000079,2020-03-27,126.931438,37.4970648,544180.5626,193937.137
3,강남방과후교실어린이집,서울특별시,동작구,법인·단체등,39,5,"서울특별시 동작구 만양로 76 2층 (노량진동,강남교회)",02-814-7616,02-817-9571,2,0,3,미운영,http://iseoul.seoul.go.kr/portal/mainCall.do,2020-03-27,126.9450783,37.5102931,545647.9423,195144.1908
4,건영어린이집,서울특별시,동작구,가정,19,7,"서울특별시 동작구 만양로 26 103동 102호(노량진동, 건영)",02-821-2008,02-821-2008,3,2,4,미운영,,2020-03-27,126.949474,37.5073471,545320.7562,195532.6536
5,구립가온어린이집,서울특별시,동작구,국공립,79,11,서울특별시 동작구 상도로15가길 16,02-3280-0217,02-3280-0218,5,1,9,미운영,,2020-03-27,126.9323514,37.5019405,544721.6437,194018.2969
6,구립강남어린이집,서울특별시,동작구,국공립,74,10,서울특별시 동작구 만양로12길 5-12,02-814-7615,02-812-7615,6,1,15,미운영,,2020-03-27,126.9457806,37.5098975,545603.9997,195206.2582
7,구립강마루어린이집,서울특별시,동작구,국공립,69,8,서울특별시 동작구 현충로 52 흑석아크로리버하임 아파트,02-814-3200,02-814-3202,4,1,7,미운영,,2020-03-27,126.9613564,37.5109104,545715.7391,196583.4197
8,구립고은어린이집,서울특별시,동작구,국공립,79,11,서울특별시 동작구 신대방2길 42-10,02-834-1097,02-834-1095,6,1,8,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000006,2020-03-27,126.9126144,37.4894135,543332.7471,192271.7979
9,구립꿈나무어린이집,서울특별시,동작구,국공립,99,15,서울특별시 동작구 여의대방로36길 11 (대방동),02-821-5615,02-821-5565,6,1,8,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000061,2020-03-27,126.925909,37.5020201,544730.9072,193448.6464
10,구립꿈담어린이집,서울특별시,동작구,국공립,39,6,서울특별시 동작구 상도로47아길 44-1 2층,02-813-4246,--,3,0,12,미운영,,2020-03-27,126.9535151,37.504183,544969.3975,195889.7813
