Unnamed: 0,교육청,소재구,유치원명,설립,우편번호,주소,전화번호,학급수,학생수.계,여.학생수,정규.교원수.계,정규.여.교원수,기간제.교원수.계,기간제.여.교원수,비고,lon,lat,UTM-K_위도변환,UTM-K_경도변환
1,동작관악,동작구,서울강남초등학교병설유치원,공립,156-881,서울특별시 동작구 강남초등길 15  서울강남초등학교병설유치원 (상도1동강남초등학교),02-824-0503,3,58,33,2,2,1,1,신설,126.9528065,37.5061982,545193.09,195827.2386
2,동작관악,동작구,서울남성초등학교병설유치원,공립,156-820,서울특별시 동작구 사당로23길 57-14 (사당동남성초등학교),02-595-3991,3,70,34,2,2,1,1,,126.9758609,37.4842393,542755.1661,197865.0408
3,동작관악,동작구,서울문창초등학교병설유치원,공립,156-853,서울특별시 동작구 신대방2길 14 (신대방동서울문창초등학교),02-836-9535,3,68,29,3,3,1,1,,126.9137666,37.4890267,543289.7234,192373.6568
4,동작관악,동작구,서울상도유치원,공립,156-840,서울특별시 동작구 성대로21길 62  서울상도유치원 (상도동상도초등학교),02-827-0037,6,84,38,6,6,3,3,신설,126.93717,37.50007,544513.747,194444.2342
5,동작관악,동작구,서울신남성초등학교병설유치원,공립,156-879,서울특별시 동작구 사당로 146 (사당동서울신남성초등학교),02-587-6131,3,70,35,3,3,1,1,,126.9650765,37.4889037,543273.1521,196911.417
6,동작관악,동작구,서울은로초등학교병설유치원,공립,156-862,서울특별시 동작구 서달로 115 (흑석동은로초등학교),02-826-5787,5,100,62,5,5,3,3,,126.9600286,37.5032922,544870.2657,196465.6663
7,동작관악,동작구,강남유치원,사립,156-830,서울특별시 동작구 상도로41가길 13 (상도1동대한예수교장로회상도교회),02-813-7122,3,74,33,6,6,0,0,,126.9496407,37.5035142,544895.3456,195547.1651
8,동작관악,동작구,노량진교회유치원,사립,156-060,서울특별시 동작구 노량진로30길 9 (본동노량진교회),02-817-3875,3,69,32,6,6,0,0,,126.9554476,37.5124486,545886.6907,196061.0882
9,동작관악,동작구,동그라미유치원,사립,156-825,서울특별시 동작구 사당로28길 34 (사당동동그라미유치원),02-587-7223,10,262,134,19,19,0,0,,126.9793051,37.4816563,542468.4149,198169.5967
10,동작관악,동작구,동아유치원,사립,156-813,서울특별시 동작구 만양로3길 48 동아유치원,02-6332-7718,13,290,128,18,18,0,0,,126.9373558,37.4997141,544474.2357,194460.6374
11,동작관악,동작구,메이플유치원,사립,156-786,서울특별시 동작구 여의대방로 22 (신대방동우성아파트),02-848-8882,6,127,60,9,9,0,0,,126.9130405,37.4926776,543694.9845,192309.816
12,동작관악,동작구,명수유치원,사립,156-861,서울특별시 동작구 흑석로13길 3 (흑석동흑석동천주교회),02-816-2964,4,102,55,9,9,0,0,,126.96038,37.5088159,545483.3123,196496.9958
13,동작관악,동작구,무지개유치원,사립,156-836,서울특별시 동작구 상도로 399  삼호아파트 단지내 (상도동삼호아파트),02-817-9854,4,66,36,8,8,0,0,,126.9575014,37.4933767,543769.8718,196241.7104
14,동작관악,동작구,벧엘유치원,사립,156-803,서울특별시 동작구 장승배기로20길 46-3 (노량진동송학대교회 벧엘유치원),02-814-1482,6,143,78,8,8,0,0,,126.9427801,37.5089579,545499.8732,194940.9092
15,동작관악,동작구,사랑유치원,사립,156-811,서울특별시 동작구 여의대방로24나길 6 (대방동),02-822-0102,5,113,62,8,8,0,0,,126.9211621,37.4983617,544325.2131,193028.5708
16,동작관악,동작구,상도유치원,사립,156-834,서울특별시 동작구 상도로  47길 51,02-815-3319,3,56,34,5,5,0,0,,126.9514916,37.5013154,544651.2212,195710.6983
17,동작관악,동작구,상아유치원,사립,156-841,서울특별시 동작구 양녕로26길 15 (상도동약수맨션아파트),02-822-6901,2,34,21,4,4,0,0,,126.944197,37.4985147,544340.7372,195065.497
18,동작관악,동작구,샛별유치원,사립,156-030,서울특별시 동작구 상도로50길 36-1  샛별유치원 (상도동),02-3280-8993,8,167,85,12,12,0,0,신설,126.9464271,37.5023991,544771.7408,195262.9439
