순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호.1,공사형태,위도,경도,UTM-K_위도변환,UTM-K_경도변환
173,1,16-0000001285,1,1,220,590,220,1,2,2,105,'','','',13776,2000-0000-000,16-001285,'',37.5056992,126.9245922,545139.3324,193332.5381
911,1,16-0000009525,1,2,220,590,220,3,2,2,105,'','','',14472,1,16-009525,1,37.4934708,126.9234754,543782.2181,193232.6886
926,1,16-0000011164,1,2,220,590,220,1,2,'',105,3145381,'','',16365,'',16-011164,1,37.5015638,126.9643089,544678.2834,196844.0644
1071,1,16-0000011363,1,2,220,590,220,1,2,'',104,2178783,'','',16564,'',16-011363,4,37.5148365,126.9269419,546153.2924,193541.083
992,1,16-0000009605,1,2,220,590,220,1,2,2,105,'','','',15241,2000-0000-000,16-009605,'',37.5143768,126.951415,546100.8729,195704.6735
1201,1,16-0000010273,1,1,220,590,220,3,2,1,105,'','','',14634,4,16-010273,4,37.5147036,126.9275373,546138.5015,193593.7098
1202,1,16-0000010274,1,1,220,590,220,3,2,1,105,'','','',14635,4,16-010274,4,37.5146798,126.9278448,546135.8391,193620.8932
1287,1,16-0000009489,1,1,220,590,220,1,2,2,105,'','','',14714,1,16-009489,1,37.5061414,126.9570949,545186.6044,196206.4081
1288,1,16-0000009490,1,1,220,590,220,1,2,2,105,'','','',14715,1,16-009490,1,37.5065582,126.9572468,545232.8578,196219.8599
1519,1,16-0000009610,1,2,220,590,220,1,2,2,105,'','','',14381,2000-0000-000,16-009610,'',37.5067402,126.9653931,545252.7614,196940.1445
1568,1,16-0000009609,1,2,220,590,220,1,2,2,105,'','','',14380,2000-0000-000,16-009609,'',37.5068664,126.9650919,545266.7778,196913.5184
1569,1,16-0000009611,1,2,220,590,220,1,2,2,105,'','','',14382,2000-0000-000,16-009611,'',37.5065425,126.9658121,545230.8057,196977.1835
1433,1,16-0000006876,1,1,220,590,220,3,2,2,105,'','','',14713,5,16-006876,5,37.5064107,126.9568198,545216.5044,196182.098
1454,1,16-0000005306,1,2,380,590,220,1,2,2,105,'','','',14691,2000-0000-000,16-005306,'',37.4883427,126.9726538,543210.6668,197581.5242
