표준ID,ARS-ID,정류장명,위도,경도,비고,UTM-K_위도변환,UTM-K_경도변환
100000001,1001,종로2가사거리,37.56976513,126.9877499,,552247.2649,198917.7881
100000002,1002,창경궁.서울대학교병원,37.57918302,126.996566,,553292.4768,199696.668
100000003,1003,명륜3가.성대입구,37.58267117,126.9983401,,553679.6173,199853.3846
100000004,1004,종로2가.삼일교,37.56857927,126.9876131,,552115.6499,198905.6854
100000005,1005,혜화동로터리.여운형활동터,37.586243,127.001744,,554076.05,200154.0364
101000305,1006,서대문역사거리,37.566137,126.966893,,551845.0295,197075.0828
100000380,1007,서울역사박물관.경희궁앞,37.569135,126.97038,,552177.6697,197383.255
100000379,1008,서울역사박물관.경희궁앞,37.569412,126.970609,,552208.4071,197403.4954
100000384,1009,광화문,37.57013547,126.9752508,,552288.5857,197813.5895
100000385,1010,광화문,37.57021681,126.9780855,,552297.5513,198064.0166
100000386,1011,종로1가,37.57011848,126.9809105,,552286.5834,198313.5822
100000387,1012,종로1가,37.57022903,126.9813906,,552298.8447,198355.9979
100000388,1013,종로2가,37.57013868,126.9855427,,552288.7523,198722.8035
100000389,1014,종로2가,37.5702572,126.9862475,,552301.8973,198785.0694
100000390,1015,종로3가.탑골공원,37.57024498,126.9895647,,552300.5033,199078.1191
100000391,1016,종로3가.탑골공원,37.57036054,126.9899878,,552313.3251,199115.4982
100000392,1017,종로4가.종묘,37.570507,126.9947219,,552329.5464,199533.7209
100000393,1018,종로4가.종묘,37.57062711,126.9952838,,552342.8746,199583.361
100000394,1019,종로5가.광장시장,37.57075679,126.9988498,,552357.2577,199898.3891
100000395,1020,종로5가.광장시장,37.57088063,126.9993346,,552371.0021,199941.2174
100000396,1021,종로6가.동대문종합시장,37.57096248,127.0034639,,552380.0919,200306.0068
100000397,1022,종로6가.동대문종합시장,37.57112723,127.0057137,,552398.387,200504.7568
100000398,1023,동대문역.흥인지문,37.57230232,127.0134512,,552528.878,201188.2805
100000365,1037,동대문(흥인지문),37.57195293,127.0120461,,552490.083,201064.1588
100000366,1041,동묘앞,37.57372552,127.0184514,,552686.9117,201629.9677
100000367,1044,동묘앞,37.57424345,127.019672,,552744.4178,201737.7816
100000006,1101,경기상고,37.58755022,126.9693635,,554221.5764,197294.12
100000007,1102,신교동,37.58329552,126.9702627,,553749.3275,197373.3897
100000008,1103,경기상고,37.58719079,126.9697701,,554181.6721,197330.0189
100000009,1104,경복고교,37.58511319,126.9710437,,553951.0467,197442.4354
100000010,1105,청운중학교,37.58785196,126.9725135,,554254.9801,197572.3444
100000011,1106,자하문고개.윤동주문학관,37.59218662,126.9671262,,554736.2314,197096.697
100000012,1107,자하문고개.윤동주문학관,37.59233532,126.9671907,,554752.7335,197102.3992
100000013,1108,청운중학교,37.58812858,126.9724613,,554285.6831,197567.743
100000014,1109,경복고교,37.58496634,126.9711547,,553934.745,197452.2345
100000015,1110,통인시장종로구보건소,37.5803257,126.97105,,553419.6897,197442.8281
100000016,1111,통인시장종로구보건소,37.58051321,126.9713851,,553440.4921,197472.434
100000017,1112,효자동,37.58309104,126.970621,,553726.6226,197405.0302
100000018,1113,사직단.어린이도서관,37.57513553,126.9679907,,552843.7281,197172.4019
100000019,1114,사직동주민센터,37.57618346,126.9713245,,552959.9412,197466.9345
100000020,1115,경복궁역,37.57686669,126.972196,,553035.7487,197543.9414
100000021,1116,경복궁역,37.57767139,126.9722829,,553125.0589,197551.644
100000022,1117,경복궁,37.57557679,126.9787471,,552892.4336,198122.5986
100000023,1118,KT광화문지사,37.57240648,126.9773193,,552540.5953,197996.3872
100000025,1120,광화문,37.5698454,126.9763839,,552256.3656,197913.6825
100000028,1123,서울역사박물관.경교장.강북삼성병원,37.570023,126.971248,,552276.2035,197459.9676
100000029,1124,광화문.금호아시아나본관앞,37.57028804,126.9731336,,552305.5706,197626.5553
