쉼터명,법정동명,쉼터유형구분,운영시작일자,운영종료일자,시설면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간연장운영여부,주말운영여부,숙박가능여부,특이사항,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자,UTM-K_위도변환,UTM-K_경도변환
대한경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,67.6,50,6,6,N,N,N,,서울특별시 동작구  노량진로14길  44   (노량진동),서울특별시 동작구 노량진동 84-33,서울특별시 동작구청,02-820-9560,37.5117093,126.9426659,2020-03-27,545805.2496,194930.9983
본동SH-Ville A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,71.97,40,1,1,N,N,N,,"서울특별시 동작구  노량진로22길  60   (본동, 본동 에스에이치빌)",서울특별시 동작구 본동 490,서울특별시 동작구청,02-820-9560,37.5107755,126.9497923,2020-03-27,545701.2497,195560.9997
유원A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,60.85,40,2,1,N,N,N,,"서울특별시 동작구  노량진로23가길  16 , 상가 (본동, 유원강변아파트)",서울특별시 동작구 본동 482 유원강변아파트 상가,서울특별시 동작구청,02-820-9560,37.5147226,126.9515344,2020-03-27,546139.2468,195715.2492
래미안트윈파크A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,189.53,60,2,2,N,N,N,,"서울특별시 동작구  노량진로23가길  23   (본동, 래미안 트윈파크)",서울특별시 동작구 본동 494,서울특별시 동작구청,02-820-9560,37.5141277,126.9508307,2020-03-27,546073.2528,195653.002
한강쌍용A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,83.7,40,3,1,N,N,N,,"서울특별시 동작구  노량진로24길  2   (본동, 한강쌍용아파트)",서울특별시 동작구 본동 150,서울특별시 동작구청,02-820-9560,37.5123694,126.9531138,2020-03-27,545878.0008,195854.7508
충신경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,132,60,2,1,N,N,N,,서울특별시 동작구  노량진로28길  31   (본동),서울특별시 동작구 본동 47-25,서울특별시 동작구청,02-820-9560,37.5117555,126.9558768,2020-03-27,545809.7475,196098.9981
경동A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,83.23,40,2,1,N,N,N,,"서울특별시 동작구  노량진로32길  156   (본동, 경동윈츠리버아파트)",서울특별시 동작구 본동 484,서울특별시 동작구청,02-820-9560,37.5099845,126.9545602,2020-03-27,545613.2445,195982.5005
본동종합사회복지관,서울특별시 동작구 노량진1동,복지회관,2020-05-18,2020-09-30,52.8,60,2,2,Y,Y,N,,서울특별시 동작구  노량진로32길  79   (본동),서울특별시 동작구 본동 16-3,서울특별시 동작구청,02-820-9560,37.5105643,126.9569096,2020-03-27,545677.4972,196190.249
신동아리버파크A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,276.54,80,4,2,N,N,N,,"서울특별시 동작구  만양로  19   (노량진동, 신동아리버파크임대아파트)",서울특별시 동작구 노량진동 325,서울특별시 동작구청,02-820-9560,37.5079886,126.9435934,2020-03-27,545392.2499,195012.7526
노량진1동경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,249,80,8,4,N,N,N,,서울특별시 동작구  만양로  77   (노량진동),서울특별시 동작구 노량진동 224-6,서울특별시 동작구청,02-820-9560,37.5103903,126.9446152,2020-03-27,545658.7542,195103.2529
삼익A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,148.11,60,2,3,N,N,N,,"서울특별시 동작구  만양로  84   (노량진동, 삼익주상복합아파트)",서울특별시 동작구 노량진동 330,서울특별시 동작구청,02-820-9560,37.5109692,126.9448014,2020-03-27,545722.9951,195119.7532
한마음경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,115.5,29,2,3,N,N,N,,서울특별시 동작구  만양로4길  38   (본동),서울특별시 동작구 본동 산11-1,서울특별시 동작구청,02-820-9560,37.5079536,126.9510553,2020-03-27,545387.996,195672.5021
우성A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,165,60,2,1,N,N,N,,"서울특별시 동작구  만양로8길  50   (노량진동, 우성아파트)",서울특별시 동작구 노량진동 323,서울특별시 동작구청,02-820-9560,37.5103979,126.9465521,2020-03-27,545659.4987,195274.501
