GU_CDE,DONG_CDE,JIBUN,geometry,X좌표,Y좌표
590,10700,708-592천,POINT (197451.6832775803 542255.4905198738),197451.6832775803,542255.4905198738
590,10700,708-1110천,POINT (196866.5862597014 543293.1973734621),196866.5862597014,543293.1973734621
590,10700,708-1110천,POINT (196862.4271102072 543300.6210580587),196862.42711020718,543300.6210580587
590,10700,산32-59 도,POINT (197052.4542100756 542556.1290698861),197052.45421007558,542556.129069886
590,10200,320-20도,POINT (194092.4268168866 544422.8202240409),194092.4268168866,544422.8202240409
590,10700,318-11도,POINT (197751.5508037184 542637.2330738012),197751.5508037184,542637.2330738012
590,10800,58천,POINT (193950.4332808631 545965.0155927212),193950.43328086307,545965.0155927212
590,10800,58천,POINT (194003.8668410127 545982.3200989428),194003.8668410127,545982.3200989428
590,10800,58천,POINT (194003.6606670944 545967.6010608834),194003.6606670944,545967.6010608835
590,10100,70-4도,POINT (194575.5975000008 545998.3680000004),194575.5975000008,545998.3680000004
590,10100,319천,POINT (194699.1403811762 546008.1457788789),194699.1403811762,546008.1457788789
590,10100,44-6도,POINT (194699.539654813 545985.6898374134),194699.539654813,545985.6898374135
590,10100,63-12도,POINT (194728.7200818981 545989.2005337807),194728.7200818981,545989.2005337807
590,10100,319천,POINT (194714.0262506464 545991.4193149812),194714.02625064642,545991.4193149812
590,10100,316도,POINT (195051.1738224014 546039.8133365293),195051.1738224014,546039.8133365293
590,10100,13-4도,POINT (195052.4941013109 546026.0848920578),195052.4941013109,546026.0848920578
590,10100,13-4도,POINT (195095.250807574 546047.0331907494),195095.250807574,546047.0331907494
590,10100,2-3 수,POINT (195095.9977763062 546032.9412175978),195095.9977763062,546032.9412175978
590,10100,151-24대,POINT (195172.2652413116 546046.8253973328),195172.2652413116,546046.8253973328
590,10100,165-8도,POINT (195418.8805363977 545945.7464671102),195418.8805363977,545945.7464671102
590,10100,477-1도,POINT (195535.3135584886 545932.5673182725),195535.3135584886,545932.5673182725
590,10100,482대,POINT (195532.0285117219 545918.6509969899),195532.0285117219,545918.6509969899
590,10400,374-3도,POINT (195581.5444432332 545906.5105280057),195581.5444432332,545906.5105280057
590,10400,477-1도,POINT (195646.5729970101 545927.1296651167),195646.5729970101,545927.1296651167
590,10200,27-26대,POINT (194997.6220252015 545075.8090615754),194997.62202520148,545075.8090615754
590,10200,26-56대,POINT (194968.5589643316 544998.8258465702),194968.5589643316,544998.8258465702
590,10500,9-22도,POINT (196928.3328667878 545369.5653114108),196928.33286678782,545369.5653114108
590,10400,477-1도,POINT (195645.6900408726 545912.8670098155),195645.6900408726,545912.8670098154
590,10200,180-6대,POINT (194635.195705851 544958.6023445753),194635.19570585102,544958.6023445753
590,10800,391-509대,POINT (193320.8695130665 544548.1433550644),193320.8695130665,544548.1433550643
590,10800,391-509대,POINT (193351.3709355795 544547.0817771255),193351.3709355795,544547.0817771255
590,10800,466-10대,POINT (193358.0389044521 544543.2016835333),193358.0389044521,544543.2016835333
590,10800,375-19대,POINT (193507.3050039176 544538.2917726914),193507.30500391763,544538.2917726914
590,10800,404-2도,POINT (193509.2885336226 544444.8398075871),193509.2885336226,544444.8398075871
590,10900,347-1도,POINT (193575.3983949449 544412.6341510884),193575.39839494487,544412.6341510884
590,10200,156-9대,POINT (195071.5458012257 544599.8802132622),195071.5458012257,544599.8802132622
590,10800,507 대,POINT (193925.8123050534 545795.4522667476),193925.8123050534,545795.4522667476
590,10800,23-190도,POINT (193932.1979874166 545789.5620287309),193932.1979874166,545789.562028731
590,10200,259-4 도,POINT (194228.1682523352 544261.987483891),194228.1682523352,544261.987483891
590,10800,11-4도,POINT (194017.1476517326 545292.7642713805),194017.1476517326,545292.7642713805
590,10500,211-32대,POINT (196082.4366746316 545197.4801994084),196082.4366746316,545197.4801994085
590,10500,190-19도,POINT (196377.3664829777 545308.5595349345),196377.3664829777,545308.5595349346
590,10200,214-193대,POINT (195022.8270673498 543767.8473219905),195022.8270673498,543767.8473219904
590,10500,260천,POINT (197042.2098213296 545187.2917177312),197042.2098213296,545187.2917177312
590,10500,42-21대,POINT (197033.8219195664 545203.990785967),197033.8219195664,545203.990785967
590,10500,39-10대,POINT (197027.4565963214 545125.7017703378),197027.4565963214,545125.7017703378
590,10500,38-43대,POINT (197006.7038054469 545119.3620558782),197006.70380544692,545119.3620558782
590,10500,38-29대,POINT (197004.8772337658 545138.0463710695),197004.8772337658,545138.0463710695
590,10900,395-61도,POINT (193288.5931695102 543701.3658571168),193288.5931695102,543701.3658571168
590,10900,395공,POINT (193242.1330055601 543823.7708838369),193242.1330055601,543823.7708838369
590,10700,222도,POINT (197328.6528735435 542854.8118223954),197328.65287354353,542854.8118223954
590,10500,204-56도,POINT (196201.6302470397 545232.0363473208),196201.6302470397,545232.0363473208
590,10600,102-44대,POINT (198210.604728717 543856.8151229017),198210.60472871698,543856.8151229017
590,10800,508 대,POINT (193710.2783092893 545493.5000829577),193710.2783092893,545493.5000829578
590,10700,209-16학,POINT (197143.3279278319 542837.9446136422),197143.3279278319,542837.9446136422
590,10900,390-5학,POINT (193146.0083724517 544281.6911042378),193146.00837245173,544281.6911042378
590,10800,23-186 도,POINT (193721.2631720531 545493.7435217042),193721.2631720531,545493.7435217042
590,10500,207-57도,POINT (196206.4803136841 545179.1867391495),196206.4803136841,545179.1867391495
590,10500,221-1도,POINT (196277.7500144477 545263.7540798153),196277.7500144477,545263.7540798153
