순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호,공사형태,위도,경도
173,1,16-0000001285,1,1,220,590,220,1,2,2,105,'','','',13776,2000-0000-000,16-001285,'',37.5056992,126.9245922
911,1,16-0000009525,1,2,220,590,220,3,2,2,105,'','','',14472,1,16-009525,1,37.4934708,126.9234754
926,1,16-0000011164,1,2,220,590,220,1,2,'',105,3145381,'','',16365,'',16-011164,1,37.5015638,126.9643089
1071,1,16-0000011363,1,2,220,590,220,1,2,'',104,2178783,'','',16564,'',16-011363,4,37.5148365,126.9269419
992,1,16-0000009605,1,2,220,590,220,1,2,2,105,'','','',15241,2000-0000-000,16-009605,'',37.5143768,126.951415
1201,1,16-0000010273,1,1,220,590,220,3,2,1,105,'','','',14634,4,16-010273,4,37.5147036,126.9275373
1202,1,16-0000010274,1,1,220,590,220,3,2,1,105,'','','',14635,4,16-010274,4,37.5146798,126.9278448
1287,1,16-0000009489,1,1,220,590,220,1,2,2,105,'','','',14714,1,16-009489,1,37.5061414,126.9570949
1288,1,16-0000009490,1,1,220,590,220,1,2,2,105,'','','',14715,1,16-009490,1,37.5065582,126.9572468
1519,1,16-0000009610,1,2,220,590,220,1,2,2,105,'','','',14381,2000-0000-000,16-009610,'',37.5067402,126.9653931
1568,1,16-0000009609,1,2,220,590,220,1,2,2,105,'','','',14380,2000-0000-000,16-009609,'',37.5068664,126.9650919
1569,1,16-0000009611,1,2,220,590,220,1,2,2,105,'','','',14382,2000-0000-000,16-009611,'',37.5065425,126.9658121
1433,1,16-0000006876,1,1,220,590,220,3,2,2,105,'','','',14713,5,16-006876,5,37.5064107,126.9568198
1454,1,16-0000005306,1,2,380,590,220,1,2,2,105,'','','',14691,2000-0000-000,16-005306,'',37.4883427,126.9726538
1616,1,16-0000011162,1,2,220,590,220,1,2,'',105,3146551,'','',16363,'',16-011162,1,37.5200394,127.04673
1621,1,16-0000011163,1,2,220,590,220,1,2,'',105,3146311,'','',16364,'',16-011163,1,37.4840338,127.0783799
1639,1,16-0000009618,1,2,220,590,220,1,2,2,105,'','','',14467,2000-0000-000,16-009618,'',37.4908662,126.9227783
1731,1,16-0000009606,1,1,220,590,220,1,2,2,105,'','','',16022,1,16-009606,1,37.5516222,126.8754387
1856,1,16-0000011004,1,2,380,590,220,1,2,2,105,'','','',16093,2000-0000-000,16-011004,'',37.4950055,126.9776394
1857,1,16-0000011006,1,2,380,590,220,1,2,2,105,'','','',16095,2000-0000-000,16-011006,'',37.5609284,126.8151089
1865,1,16-0000005302,1,1,220,590,220,1,2,2,105,'','','',16043,2000-0000-000,16-005302,'',37.4953423,126.914593
1887,1,16-0000010254,1,2,220,590,220,1,2,2,105,'','','',16044,2000-0000-000,16-010254,'',37.4955387,126.9145
1888,1,16-0000005296,1,1,220,590,220,1,2,2,105,'','','',16045,2000-0000-000,16-005296,'',37.4958747,126.9144265
1889,1,16-0000005295,1,1,220,590,220,1,2,2,105,'','','',16046,2000-0000-000,16-005295,'',37.5455982,126.9147248
1750,1,16-0000009619,1,2,220,590,220,1,2,2,105,'','','',14468,2000-0000-000,16-009619,'',37.4918159,126.9234573
1943,1,16-0000008925,1,2,220,590,220,1,2,2,105,'','','',16206,1,16-008925,1,37.5064011,126.9620164
