"새주소","지번주소","좌표정보","좌표정보","테마코드","콘텐츠 코드","언어셋(KOR : 국문, ENG : 영문, JP : 일문, CHA : 중문-간체, CHB : 중문-번체)","콘텐츠 명","시도명(텍스트)","구명","동명","산지여부","주 번지","부 번지","기타주소","전화번호","상세정보 값 1","상세정보 값 2","상세정보 값 3","상세정보 값 4","상세정보 값 5","상세정보 값 6","상세정보 값 7","상세정보 값 8","상세정보 값 9","상세정보 값 10","상세정보 값 11","상세정보 값 12","상세정보 값 13","상세정보 값 14","상세정보 값 15","상세정보 값 16","상세정보 값 17","상세정보 값 18","상세정보 값 19","상세정보 값 20","상세정보 이름 1","상세정보 이름 2","상세정보 이름 3","상세정보 이름 4","상세정보 이름 5","상세정보 이름 6","상세정보 이름 7","상세정보 이름 8","상세정보 이름 9","상세정보 이름 10","상세정보 이름 11","상세정보 이름 12","상세정보 이름 13","상세정보 이름 14","상세정보 이름 15","상세정보 이름 16","상세정보 이름 17","상세정보 이름 18","상세정보 이름 19","상세정보 이름 20","좌표데이터","좌표 타입 (1:Point 3:Polyline 4:MultiPolyline 5:Polygon 6:MultiPolygon 8:multiPoint)","선 두께 1~10","테마 선 색상","키워드","등록일","수정일"
"서울특별시 동작구 노량진로6다길 26 (노량진동재영교회)","서울특별시 동작구 노량진동 294-29번지 재영교회 재영교회","126.935826808","37.509559014","100417","DAY000137","KOR","구립재영데이케어센터","서울특별시","동작구","","","","","","02-822-5119","2011.03.15","2011.06.29","27","24","토요일운영 1일 2회 이상 다양한 특화프로그램 운영","","","","","","","","","","","","","","","","설치신고일자","서울형 인증일자 (최초)","이용정원(명)","현원(명)","특기사항","","","","","","","","","","","","","","","","","1","0","#0000FF","","2017-06-21 11:48:32.0","2017-06-21 11:48:32.0"
"서울특별시 동작구 노량진로32길 79 (본동본동종합사회복지관 본동종합사회복지관)","서울특별시 동작구 본동 16-13번지 본동종합사회복지관 본동종합사회복지관","126.956801270","37.510500855","100417","DAY000138","KOR","노들데이케어센터","서울특별시","동작구","","","","","","070-7163-0907","2012.10.22","2013.03.27","17","17","","","","","","","","","","","","","","","","","설치신고일자","서울형 인증일자 (최초)","이용정원(명)","현원(명)","특기사항","","","","","","","","","","","","","","","","","1","0","#0000FF","","2017-06-21 11:48:32.0","2017-06-21 11:48:32.0"
"서울특별시 동작구 상도로11길 7 (대방동동작노인복지관 동작노인복지관)","서울특별시 동작구 대방동 335-10번지 동작노인복지관 동작노인복지관","126.929364677","37.500493486","100417","DAY000139","KOR","동작데이케어센터","서울특별시","동작구","","","","","","02-823-0064","2008.12.29","2009.07.01","17","16","특화프로그램 (우울경감 프로그램)","","","","","","","","","","","","","","","","설치신고일자","서울형 인증일자 (최초)","이용정원(명)","현원(명)","특기사항","","","","","","","","","","","","","","","","","1","0","#0000FF","","2017-06-21 11:48:32.0","2017-06-21 11:48:32.0"
"서울특별시 동작구 사당로13길 42 (사당동삼화경로당데이케어센터)","서울특별시 동작구 사당동 1131-13번지 삼화경로당데이케어센터","126.971908845","37.485907665","100417","DAY000140","KOR","삼화데이케어센터","서울특별시","동작구","","","","","","02-813-7753","2012.03.16","2012.10.29","21","21","","","","","","","","","","","","","","","","","설치신고일자","서울형 인증일자 (최초)","이용정원(명)","현원(명)","특기사항","","","","","","","","","","","","","","","","","1","0","#0000FF","","2017-06-21 11:48:32.0","2017-06-21 11:48:32.0"
"서울특별시 동작구 양녕로27길 41 345층 (상도동송학경로당데이케어센터)","서울특별시 동작구 상도동 210-249번지 송학경로당데이케어센터 345층","126.941546058","37.499161419","100417","DAY000141","KOR","송학데이케어센터","서울특별시","동작구","","","","","","02-812-6017","2012.06.18","2013.03.27","21","21","","","","","","","","","","","","","","","","","설치신고일자","서울형 인증일자 (최초)","이용정원(명)","현원(명)","특기사항","","","","","","","","","","","","","","","","","1","0","#0000FF","","2017-06-21 11:48:32.0","2017-06-21 11:48:32.0"
"서울특별시 동작구 양녕로36길 13 (상도동성심의집)","서울특별시 동작구 상도동 159-330번지 성심의집 성심의집","126.946294791","37.502208058","100417","DAY000142","KOR","약수데이케어센터","서울특별시","동작구","","","","","","02-825-7071","2013.11.01","2014.03.31","24","23","텃밭 가꾸기","","","","","","","","","","","","","","","","설치신고일자","서울형 인증일자 (최초)","이용정원(명)","현원(명)","특기사항","","","","","","","","","","","","","","","","","1","0","#0000FF","","2017-06-21 11:48:32.0","2017-06-21 11:48:32.0"
"서울특별시 동작구 사당로16라길 9 4동 (사당동사당4동경로당)","서울특별시 동작구 사당동 278-34번지 사당4동경로당 4동 사당경로당","126.970239083","37.482608417","100417","DAY000143","KOR","엔젤데이케어센터","서울특별시","동작구","","","","","","02-3476-1004","2012.08.13","2013.03.27","21","21","보호자 간담회 치매 가족 자조모임","","","","","","","","","","","","","","","","설치신고일자","서울형 인증일자 (최초)","이용정원(명)","현원(명)","특기사항","","","","","","","","","","","","","","","","","1","0","#0000FF","","2017-06-21 11:48:32.0","2017-06-21 11:48:32.0"
"서울특별시 동작구 국사봉1길 145 (상도동사회복지법인청운종합복지원)","서울특별시 동작구 상도동 290-1번지 사회복지법인청운종합복지원 사회복지법인청운종합복지원","126.933355873","37.495667438","100417","DAY000144","KOR","청운데이케어센터","서울특별시","동작구","","","","","","02-823-3855","2009.12.30","2010.02.01","24","20","공휴일운영 야외산책로 숙명여대대학원 연계 음악치료 진행 외부강사 프로그램 (8개) 운영","","","","","","","","","","","","","","","","설치신고일자","서울형 인증일자 (최초)","이용정원(명)","현원(명)","특기사항","","","","","","","","","","","","","","","","","1","0","#0000FF","","2017-06-21 11:48:32.0","2017-06-21 11:48:32.0"
"서울특별시 동작구 흑석한강로 13 (흑석동서울남부교회)","서울특별시 동작구 흑석동 335-3번지 서울남부교회 서울남부교회","126.966452995","37.505694991","100417","DAY000145","KOR","흑석데이케어센터","서울특별시","동작구","","","","","","02-825-0511","2011.11.01","2012.04.24","24","24","토요일 공휴일 운영 외부강사 프로그램 11개운영 지역자원연계(치매지원센터 어린이집연계수업 지역아동센터 공연 주민센터이미용서비스 등) 사회적응훈련프로그램(공원 및 타기관 방문 등) 여가및 정서지원(나들이 생신잔치 공연관람 등)","","","","","","","","","","","","","","","","설치신고일자","서울형 인증일자 (최초)","이용정원(명)","현원(명)","특기사항","","","","","","","","","","","","","","","","","1","0","#0000FF","","2017-06-21 11:48:32.0","2017-06-21 11:48:32.0"
"서울특별시 동작구 상도로 121 4층 (상도동)","서울특별시 동작구 상도동 353-1번지 4층","126.933421297","37.501598588","100417","DAY000146","KOR","(사)굿하트데이케어센터","서울특별시","동작구","","","","","","02-793-5573","2015.01.02","2015.09.30","28","27","맞춤형 외부강사 프로그램 5개 운영 촉탁의 문진 프로그램 운영 (월1회)","","","","","","","","","","","","","","","","설치신고일자","서울형 인증일자 (최초)","이용정원(명)","현원(명)","특기사항","","","","","","","","","","","","","","","","","1","0","#0000FF","","2017-06-21 11:48:33.0","2017-06-21 11:48:33.0"
