"시장명",시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자
"영도시장",상설장,서울특별시 동작구 장승배기로10길 26,서울특별시 동작구 상도동 176,매일,37.5040325,126.9404275,60,"농산물, 수산물, 축산물",온누리상품권,,Y,N,1968,02-813-4359,2019-05-27
"사당시장",상설장,서울특별시 동작구 사당로 244 사당시장,서울특별시 동작구 사당4동 318-8,매일,37.4829700,126.9749000,14,"농산물, 수산물, 축산물",온누리상품권,,Y,Y,1987,02-582-3333,2019-05-27
"강남시장",상설장,서울특별시 동작구 상도로 357 아파트,서울특별시 동작구 상도동 488,매일,37.4968806,126.9535395,16,"농산물, 수산물, 축산물",온누리상품권,,Y,N,1984,02-813-6231,2019-05-27
"성대시장",상설장,서울특별시 동작구 상도로 102 성대시장,서울특별시 동작구 상도동 324-1,매일,37.4999142,126.9317661,56,"농산물, 수산물, 축산물",온누리상품권,,Y,Y,1979,070-8980-4455,2019-05-27
"본동인정시장",상설장,서울특별시 동작구 매봉로 177,서울특별시 동작구 본동 187-1외 66필지,매일,37.5121819,126.9518871,82,"농산물, 수산물, 축산물",온누리상품권,,N,N,2006,,2019-05-27
"신노량진시장",상설장,서울특별시 동작구 장승배기로 123-6,서울특별시 동작구 노량진동 307-9,매일,37.5085536904,126.939368002,25,"농산물, 수산물, 축산물",,,N,N,1961,02-826-5800,2019-05-27
"노량진중앙시장",상설장,서울특별시 동작구 만양로16길 9,서울특별시 동작구 노량진동 119-153,매일,37.5117549,126.9446064,27,"농산물, 수산물, 축산물",,,N,N,1964,02-812-5535,2019-05-27
"남성사계시장",상설장,서울특별시 동작구 동작대로 129,서울특별시 동작구 사당동 86-9외,매일,37.4882573,126.9818578,140,"농산물, 수산물, 축산물",,market.dongjak.go.kr,N,N,1960,02-536-3002,2019-05-27
"성대전통시장",상설장,서울특별시 동작구 상도로 102,서울특별시 동작구 상도동 324~대방동406-8,매일,37.4999142,126.9317661,89,"농산물, 수산물, 축산물",,,N,N,1979,02-822-4456,2019-05-27
"흑석시장",상설장,서울특별시 동작구 서달로12길 19,서울특별시 동작구 흑석동50-24~97-4,매일,37.5068916,126.9628825,66,"농산물, 수산물, 축산물",,,N,N,1965,,2019-05-27
"남성역골목시장",상설장,서울특별시 동작구 사당로16가길 13,서울특별시 동작구 사당동 267-16,매일,37.4829003,126.9725604,57,"농산물, 수산물, 축산물",,,N,N,1970,,2019-05-27
"상도전통시장",상설장,서울특별시 동작구 상도로37길64 일원,서울특별시 동작구 상도1동467-5~360-3,매일,37.4985600,126.9522000,73,"농산물, 수산물, 축산물",,,N,N,,,2019-05-27
"사당1동먹자골목상점가",상설장,서울특별시 동작구 동작대로 3길,서울특별시 동작구 사당동 1032-31,매일,37.4784259,126.9806005,109,음식물,,,N,N,,,2019-05-27
