,사고유형구분,발생건수,위도,경도,new_x,new_y
12,보행노인,7,37.50005749,126.9306857,193870.85654509068,544512.7610589518
17,보행노인,3,37.48509275,126.9705886,197398.76692733407,542850.0203704722
18,보행노인,6,37.47648961,126.9794737,198184.3838769297,541894.978049565
24,보행노인,8,37.50476703,126.9373462,194460.1618405741,545035.0463406575
25,보행노인,8,37.4995045,126.9314768,193940.76518978766,544451.3351045917
28,보행노인,8,37.50549389,126.9389476,194601.8097019088,545115.625396174
32,보행노인,5,37.49184016,126.9242081,193297.33784488996,543601.1859129197
40,보행노인,5,37.49895938,126.928096,193641.7681936046,544391.0568649727
41,보행노인,6,37.49888489,126.9279325,193627.30409957792,544382.8004980392
46,보행노인,4,37.50195119,126.9344264,194201.77584612696,544722.7002550756
47,보행노인,6,37.50426619,126.9395385,194653.96893407288,544979.3327470857
48,보행노인,8,37.50002153,126.9314834,193941.39057569933,544508.7183157478
49,보행노인,6,37.50003048,126.9321809,194003.0680324661,544509.6669788869
53,보행노인,5,37.50771763,126.9609381,196546.28960039106,545361.3977508403
55,보행노인,5,37.48277885,126.9733216,197640.40894085087,542593.1361586183
57,보행노인,7,37.50456547,126.9468254,195298.29849340385,545012.1599770534
58,보행노인,5,37.50759722,126.9622062,196658.40500361988,545347.9879975928
59,보행노인,4,37.50415361,126.9389865,194605.15275810755,544966.8693160609
61,보행노인,5,37.4976828,126.9525029,195799.91792869466,544248.004107804
66,보행노인,5,37.50728158,126.9622516,196662.4050594905,545312.9543919018
67,보행노인,4,37.50736432,126.9608558,196538.99662340808,545322.1878920475
70,보행노인,4,37.51094516,126.9247748,193349.14881922124,545721.5540297059
71,보행노인,4,37.51064345,126.9446009,195102.00517826513,545686.8513808979
73,보행노인,4,37.48492047,126.9707969,197417.18367828825,542830.8938371536
74,보행노인,4,37.49560314,126.9433887,194993.82693232762,544017.6346337609
75,보행노인,5,37.49940192,126.9284935,193676.95511793034,544440.1462929086
76,보행노인,4,37.48875742,126.90682350000002,191759.5905210807,543260.4219574665
79,보행노인,3,37.50744641,126.9616645,196610.50297246547,545331.2693939793
83,보행노인,3,37.50537309,126.9225773,193154.35340812532,545103.2830808811
84,보행노인,3,37.49979117,126.9215786,193065.53299658405,544483.8350147395
85,보행노인,3,37.48330413,126.9759081,197869.1887905855,542651.3735858174
86,보행노인,3,37.48543043,126.9818317,198393.14790220547,542887.247122566
87,보행노인,6,37.50376308,126.9396953,194667.79747597643,544923.485117184
93,보행노인,3,37.48561574,126.9827672,198475.88974069638,542907.7985249659
96,보행노인,3,37.47714395,126.9811537,198332.99972358823,541967.5699569836
98,보행노인,2,37.48270389,126.9822366,198428.90122822984,542584.6305083436
